,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Godoy Cruz,Tigre,1,1,2,1,0,1,8,4,1,1,2,0,12,10,6,4,16,11,2022-02-11,2.43,3.14,3.29,2.29,3.15,3.13
1,Banfield,San Lorenzo,0,0,0,0,0,0,8,4,0,0,1,0,15,9,5,2,14,11,2022-02-12,2.18,3.18,3.85,2.18,3.0,3.53
2,Aldosivi,Boca Juniors,1,2,3,1,0,1,4,5,1,0,0,0,12,19,4,12,8,12,2022-02-16,6.02,3.78,1.65,5.37,3.56,1.64
3,River Plate,Patronato,4,1,5,3,2,1,7,2,0,0,2,0,17,5,12,4,11,12,2022-02-17,1.23,6.21,14.83,1.23,5.61,12.23
4,Defensa y Justicia,Racing Club,2,2,4,3,1,2,5,8,2,0,1,0,17,13,7,6,10,11,2022-02-17,2.08,3.43,3.82,2.02,3.24,3.64
5,Boca Juniors,Rosario Central,2,1,3,0,0,0,9,2,3,0,4,0,11,8,7,5,12,17,2022-02-20,1.63,3.9,6.01,1.64,3.53,5.51
6,Barracas Central,Tigre,0,2,2,1,0,1,3,5,3,0,2,0,7,14,4,6,10,17,2022-02-21,5.26,3.61,1.76,4.73,3.48,1.73
7,Godoy Cruz,Aldosivi,0,2,2,1,0,1,13,2,1,1,4,0,17,5,8,4,15,12,2022-02-21,1.61,4.11,5.78,1.56,4.02,5.35
8,San Lorenzo,Defensa y Justicia,3,4,7,2,0,2,4,5,4,0,2,0,15,19,6,12,11,15,2022-02-22,3.33,3.03,2.48,3.18,3.03,2.31
9,Platense,Banfield,0,1,1,1,0,1,7,4,2,0,3,1,7,13,3,5,8,17,2022-02-26,3.38,2.98,2.49,3.19,2.97,2.35
10,Rosario Central,Godoy Cruz,1,2,3,0,0,0,8,3,1,0,1,0,14,10,6,4,8,7,2022-02-26,2.08,3.55,3.68,1.98,3.49,3.5
11,Independiente,Boca Juniors,2,2,4,3,1,2,7,2,3,0,5,1,12,7,5,4,14,19,2022-02-27,4.37,3.0,2.12,3.96,2.96,2.06
12,River Plate,Racing Club,2,2,4,2,2,0,9,5,2,0,2,0,14,16,8,6,13,14,2022-02-27,1.45,4.51,7.94,1.39,4.55,7.34
13,Barracas Central,Aldosivi,2,1,3,1,0,1,4,3,3,1,1,0,9,12,7,6,13,13,2022-03-05,3.19,3.17,2.47,2.94,3.14,2.39
14,San Lorenzo,River Plate,0,1,1,1,0,1,6,5,3,0,4,0,8,15,3,6,17,22,2022-03-05,5.36,3.64,1.74,5.02,3.69,1.65
15,Banfield,Defensa y Justicia,2,3,5,3,1,2,8,4,4,0,3,0,10,10,4,6,18,11,2022-03-06,2.57,3.17,3.04,2.45,3.12,2.88
16,Godoy Cruz,Independiente,3,3,6,2,1,1,3,7,3,0,4,0,18,13,5,8,12,9,2022-03-07,2.03,3.57,3.84,2.04,3.26,3.58
17,Platense,Patronato,1,2,3,1,0,1,8,2,4,0,4,0,14,9,4,3,11,15,2022-03-12,2.36,3.11,3.49,2.31,2.99,3.23
18,Aldosivi,Tigre,1,0,1,0,0,0,5,11,2,0,0,0,9,16,7,8,14,9,2022-03-12,3.85,3.29,2.12,3.56,3.21,2.06
19,Rosario Central,Barracas Central,1,3,4,1,1,0,7,2,2,0,2,0,10,10,5,5,12,15,2022-03-12,1.32,5.85,9.0,1.29,5.33,8.86
20,Aldosivi,Patronato,3,1,4,3,2,1,7,9,3,0,2,1,11,15,7,5,16,15,2022-03-18,2.86,3.02,2.84,2.71,2.97,2.69
21,Tigre,Platense,4,0,4,3,3,0,7,2,1,0,2,0,17,9,11,2,13,19,2022-03-18,1.99,3.19,4.56,1.94,3.17,4.1
22,Independiente,Racing Club,1,2,3,1,0,1,7,3,0,0,5,0,17,9,7,6,14,11,2022-03-19,2.73,3.06,2.95,2.63,2.95,2.78
23,River Plate,Boca Juniors,0,1,1,0,0,0,8,0,1,0,4,0,17,7,8,3,13,22,2022-03-20,1.84,3.43,4.98,1.86,3.19,4.46
24,Barracas Central,Independiente,0,1,1,0,0,0,5,6,2,0,2,0,8,14,3,5,14,11,2022-04-02,4.99,3.33,1.87,4.75,3.26,1.8
25,Defensa y Justicia,River Plate,1,2,3,1,0,1,2,6,0,0,1,0,10,18,4,8,2,8,2022-04-02,5.25,4.0,1.68,4.83,3.89,1.64
26,Tigre,Rosario Central,2,0,2,0,0,0,3,2,1,0,3,0,10,2,6,0,13,21,2022-04-04,1.88,3.52,4.56,1.88,3.33,4.17
27,Independiente,Tigre,1,1,2,1,1,0,5,3,3,0,2,0,12,13,5,5,15,13,2022-04-09,3.33,2.93,2.56,3.17,2.85,2.45
28,Patronato,Banfield,0,1,1,0,0,0,9,4,2,0,3,0,19,14,7,5,16,9,2022-04-10,2.5,3.02,3.32,2.38,2.92,3.2
29,Platense,Racing Club,0,1,1,0,0,0,7,2,5,0,6,0,9,11,5,4,17,15,2022-04-10,4.3,3.73,1.87,4.06,3.5,1.84
30,Aldosivi,Rosario Central,1,0,1,1,1,0,1,5,2,0,1,0,5,13,3,3,14,9,2022-04-15,2.69,3.45,2.69,2.55,3.32,2.65
31,San Lorenzo,Platense,2,2,4,2,2,0,3,5,1,0,4,0,10,13,5,10,13,14,2022-04-16,2.17,3.2,3.84,2.11,3.15,3.53
32,Banfield,River Plate,1,2,3,1,1,0,3,3,2,1,4,0,8,11,3,5,15,10,2022-04-18,5.31,3.83,1.7,4.94,3.54,1.7
33,Independiente,Aldosivi,1,1,2,2,1,1,10,5,3,0,5,1,14,6,6,4,11,14,2022-04-20,1.54,4.08,6.91,1.52,3.86,6.33
34,Patronato,Racing Club,2,3,5,3,1,2,11,6,4,0,1,1,21,7,6,6,19,14,2022-04-20,3.55,3.22,2.26,3.26,3.1,2.26
35,Boca Juniors,Godoy Cruz,1,1,2,2,1,1,5,9,0,0,2,0,12,17,7,9,12,18,2022-04-21,1.81,3.58,4.94,1.83,3.39,4.35
36,San Lorenzo,Patronato,1,2,3,1,0,1,5,7,0,1,4,0,17,20,9,8,7,17,2022-04-23,2.37,3.15,3.42,2.27,3.13,3.18
37,Rosario Central,Independiente,3,0,3,1,1,0,5,7,1,0,4,1,13,13,5,2,15,20,2022-04-23,3.05,3.11,2.6,2.87,3.01,2.54
38,Defensa y Justicia,Platense,1,1,2,0,0,0,13,4,2,0,0,0,21,4,12,4,8,5,2022-04-25,1.61,4.14,5.8,1.59,3.9,5.31
