timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659726000,Aug 05 2022 - 7:00pm,complete,N/A,Olympique Lyonnais,Ajaccio,Benoît Bastien,1,0.00,0.00,2.17,1.17,2,1,3,3,2,1,"12,22","31",4,3,1,1,5,1,2,0,5,1,11,9,5,5,6,4,10,18,68,32,1.29,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.91,7.68,1.19,1.53,2.60,4.50,1.95,1.80,Groupama Stadium (Décines-Charpieu)
1659798000,Aug 06 2022 - 3:00pm,complete,N/A,Strasbourg,Monaco,François Letexier,1,0.00,0.00,0.50,2.60,1,2,3,1,0,1,"65","43,53",3,7,0,0,2,0,0,0,0,2,14,29,9,15,5,14,17,15,53,47,1.77,3.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.30,2.30,1.30,1.83,3.30,6.50,1.70,2.05,Stade de la Meinau (Strasbourg)
1659812400,Aug 06 2022 - 7:00pm,complete,N/A,Clermont,PSG,Jeremy Stinat,1,0.00,0.00,1.80,2.71,0,5,5,3,0,3,"","9,26,38,80,86",0,6,2,0,1,0,1,1,1,0,9,21,2,13,7,8,13,13,39,61,0.87,2.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.33,7.00,1.25,1.11,1.34,1.96,3.00,1.67,2.10,Stade Gabriel Montpied (Clermont-Ferrand)
1659870000,Aug 07 2022 - 11:00am,complete,20567,Toulouse,Nice,Johan Hamel,1,0.00,0.00,1.83,1.33,1,1,2,1,1,0,"20","78",6,3,1,0,2,0,0,1,0,2,7,14,3,6,4,8,10,8,46,54,1.13,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.30,2.40,1.30,1.86,3.25,6.50,1.67,2.10,Stadium de Toulouse (Toulouse)
1659877200,Aug 07 2022 - 1:00pm,complete,N/A,Lille,Auxerre,Eric Wattellier,1,0.00,0.00,1.80,0.60,4,1,5,3,3,0,"1,3,39,64","68",7,2,2,0,1,0,0,2,1,0,16,12,7,3,9,9,10,9,60,40,1.87,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.50,4.50,1.25,2.03,2.98,5.40,1.80,1.95,Stade Pierre-Mauroy (Villeneuve d'Ascq)
1659877200,Aug 07 2022 - 1:00pm,complete,N/A,Angers SCO,Nantes,Hakim Ben El Hadj,1,0.00,0.00,0.67,0.33,0,0,0,0,0,0,"","",3,6,3,0,3,0,1,2,1,2,17,14,8,5,9,9,15,13,49,51,1.98,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,3.20,2.90,1.36,2.00,3.75,7.50,1.80,1.95,Stade Raymond-Kopa (Angers)
1659877200,Aug 07 2022 - 1:00pm,complete,N/A,Montpellier,Troyes,Pierre Gaillouste,1,0.00,0.00,1.50,1.00,3,2,5,4,2,2,"3,15,81","12,17",3,6,1,0,0,0,0,1,0,0,17,18,5,11,12,7,13,10,53,47,1.63,2.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.30,3.20,1.28,1.85,3.20,6.00,1.67,2.10,Stade de la Mosson (Montpellier)
1659877200,Aug 07 2022 - 1:00pm,complete,N/A,Lens,Brest,Thomas Léonard,1,0.00,0.00,3.00,0.67,3,2,5,1,1,0,"27,62,65","66,82",6,3,2,0,4,0,1,1,2,2,17,8,7,6,10,2,16,14,62,38,1.79,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.33,5.00,1.20,1.63,2.65,4.75,1.75,2.00,Stade Bollaert-Delelis (Lens)
1659884700,Aug 07 2022 - 3:05pm,complete,N/A,Rennes,Lorient,Bastien Dechepy,1,0.00,0.00,2.50,2.17,0,1,1,0,0,0,"","65",7,2,3,0,1,0,0,3,0,1,19,8,4,4,15,4,11,5,64,36,1.89,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,5.00,9.50,1.18,1.65,2.30,4.33,1.91,1.91,Roazhon Park (Rennes)
1659897900,Aug 07 2022 - 6:45pm,complete,62738,Olympique Marseille,Reims,Jérôme Brisard,1,0.00,0.00,2.17,1.00,4,1,5,2,2,0,"13,45'1,75,90'4","84",6,7,1,0,0,0,0,1,0,0,17,17,8,7,9,10,14,10,56,44,2.00,1.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,3.90,6.50,1.30,1.93,3.30,6.50,1.95,1.80,Stade Orange Vélodrome (Marseille)
