timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1658509200,Jul 22 2022 - 5:00pm,complete,N/A,Osnabrück,MSV Duisburg,Patrick Hanslbauer,1,0.00,0.00,1.50,2.00,1,0,1,0,0,0,"82","",12,3,1,0,4,0,0,1,2,2,16,9,8,2,8,7,-1,-1,50,50,2.16,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.50,3.80,1.20,1.56,2.57,4.40,1.67,2.10,Bremer Brücke (Osnabrück)
1658577600,Jul 23 2022 - 12:00pm,complete,N/A,VfB Oldenburg,Meppen,Tobias Schultes,1,0.00,0.00,1.33,0.50,1,1,2,1,0,1,"71","17",6,6,1,0,6,1,1,0,1,6,14,7,8,4,6,3,9,15,53,47,2.04,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.60,2.90,1.26,1.68,2.97,5.57,1.62,2.20,Marschwegstadion (Oldenburg)
1658577600,Jul 23 2022 - 12:00pm,complete,N/A,Ingolstadt,Bayreuth,Patrick Kessel,1,0.00,0.00,2.00,0.00,1,0,1,1,1,0,"5","",6,5,2,1,3,0,1,2,1,2,15,11,5,6,10,5,19,10,46,54,1.75,1.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.33,5.00,1.21,1.57,2.68,4.83,1.73,2.00,Audi-Sportpark (Ingolstadt)
1658577600,Jul 23 2022 - 12:00pm,complete,N/A,Waldhof Mannheim,Viktoria Köln,Daniel Schlager,1,0.00,0.00,3.00,1.00,3,1,4,0,0,0,"64,86,90'2","73",3,2,2,0,2,0,1,1,1,1,13,6,7,3,6,3,11,17,47,53,1.92,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,3.75,4.20,1.27,1.80,3.03,5.63,1.67,2.10,Carl-Benz-Stadion (Mannheim)
1658577600,Jul 23 2022 - 12:00pm,complete,N/A,Rot-Weiss Essen,Elversberg,Konrad Oldhfer,1,0.00,0.00,0.33,3.00,1,5,6,5,1,4,"13","7,10,23,26,82",1,3,4,0,2,0,1,3,0,2,10,15,4,9,6,6,18,15,50,50,1.37,2.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.60,3.40,1.26,1.75,2.99,5.61,1.67,2.10,Stadion Essen (Essen)
1658577600,Jul 23 2022 - 12:00pm,complete,N/A,Dynamo Dresden,1860 München,Timo Gerach,1,0.00,0.00,1.00,3.00,3,4,7,2,0,2,"70,73,82","8,36,68,71",5,2,3,0,2,0,1,2,0,2,18,9,9,7,9,2,9,18,57,43,2.32,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.60,3.10,1.27,1.72,2.97,5.60,1.67,2.10,Rudolf-Harbig-Stadion (Dresden)
1658577600,Jul 23 2022 - 12:00pm,complete,N/A,Saarbrucken,Verl,Lukas Benen,1,0.00,0.00,2.33,0.00,1,0,1,0,0,0,"90'5","",7,5,0,0,3,0,0,0,0,3,11,11,8,4,3,7,12,17,58,42,1.77,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.75,3.00,1.18,1.62,2.45,4.12,1.67,2.10,Stadion Ludwigspark (Saarbrücken)
1658660400,Jul 24 2022 - 11:00am,complete,N/A,Freiburg II,Erzgebirge Aue,Florian Exner,1,0.00,0.00,2.33,0.67,1,1,2,1,0,1,"50","2",4,7,1,1,1,0,2,0,1,0,8,17,3,8,5,9,18,15,45,55,1.07,2.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.53,3.11,2.21,1.31,1.75,3.31,6.48,1.73,2.00,Dreisamstadion (Freiburg im Breisgau)
1658664000,Jul 24 2022 - 12:00pm,complete,N/A,Zwickau,Hallescher FC,Sven Waschitzki,1,0.00,0.00,2.00,0.00,3,2,5,2,2,0,"22,38,84","78,85",7,6,1,0,2,0,1,0,1,1,13,5,5,3,8,2,21,13,43,57,1.75,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.96,3.17,2.90,1.29,1.75,3.28,6.48,1.73,2.00,GGZ Arena (Zwickau)
1658768400,Jul 25 2022 - 5:00pm,complete,N/A,Wehen Wiesbaden,Borussia Dortmund II,Mitja Stegemann,1,0.00,0.00,1.67,0.33,1,1,2,0,0,0,"56","77",6,5,1,0,1,0,0,1,0,1,18,11,4,7,14,4,11,15,51,49,1.98,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.40,3.35,1.27,1.80,2.99,5.56,1.62,2.20,BRITA-Arena (Wiesbaden)
