timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659726900,Aug 05 2022 - 7:15pm,complete,N/A,Benfica,FC Arouca,Manuel Mota,1,0.00,0.00,3.00,1.25,4,0,4,3,3,0,"8,42,45'6,86","",7,1,3,0,1,1,0,3,2,0,21,3,8,3,13,0,7,7,73,27,2.43,0.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,6.73,15.52,1.18,1.56,2.38,4.00,2.38,1.53,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa)
1659796200,Aug 06 2022 - 2:30pm,complete,N/A,Rio Ave FC,FC Vizela,Gustavo Fernandes Correia,1,0.00,0.00,1.50,1.40,0,1,1,0,0,0,"","66",6,7,7,0,4,0,2,5,1,3,8,14,0,7,8,7,19,16,65,35,0.91,1.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.34,3.20,3.03,1.31,2.00,3.25,6.25,1.75,2.00,Estádio do Rio Ave Futebol Clube (Vila do Conde)
1659805200,Aug 06 2022 - 5:00pm,complete,N/A,GD Estoril Praia,Famalicão,Nuno Miguel Serrano Almeida,1,0.00,0.00,1.25,0.20,2,0,2,2,2,0,"20,45","",1,2,4,0,1,0,1,3,0,1,11,14,6,7,5,7,14,11,47,53,1.34,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.30,2.85,1.29,2.03,3.10,6.00,1.70,2.05,Estádio António Coimbra da Mota (Estoril)
1659814200,Aug 06 2022 - 7:30pm,complete,N/A,Porto,CS Marítimo,Hélder Miguel Azevedo Malheiro,1,0.00,0.00,3.00,0.20,5,1,6,3,3,0,"12,40,42,68,76","88",4,4,3,0,2,0,2,1,1,1,22,10,8,5,14,5,13,11,59,41,2.30,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.18,6.70,13.64,1.18,1.52,2.25,3.90,2.38,1.53,Estádio Do Dragão (Porto)
1659882600,Aug 07 2022 - 2:30pm,complete,N/A,Santa Clara,Casa Pia,N/A,1,0.00,0.00,1.00,2.50,0,0,0,0,0,0,"","",7,6,1,1,3,0,1,1,1,2,8,12,3,2,5,10,15,13,54,46,1.00,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.25,3.50,1.34,2.25,3.50,7.00,1.91,1.91,Estádio de São Miguel (Ponta Delgada- Ilha de São Miguel- Açores)
1659891600,Aug 07 2022 - 5:00pm,complete,N/A,Sporting Braga,Sporting CP,Fábio José Costa Veríssimo,1,0.00,0.00,2.00,1.40,3,3,6,4,2,2,"14,45'1,88","9,18,83",3,3,2,0,2,0,2,0,0,2,18,12,8,6,10,6,14,17,45,55,1.99,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.60,3.40,2.00,1.28,1.95,3.10,5.75,1.70,2.05,Estádio Municipal de Braga (Braga)
1659900600,Aug 07 2022 - 7:30pm,complete,N/A,Portimonense,Boavista FC,Cláudio Filipe Ruivo Pereira,1,0.00,0.00,1.80,1.50,0,1,1,1,0,1,"","9",7,1,3,0,1,0,1,2,0,1,19,11,8,6,11,5,13,11,63,37,2.15,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.25,3.80,1.42,2.30,4.10,8.50,2.00,1.75,Estádio Municipal de Portimão (Portimão)
1659900600,Aug 07 2022 - 7:30pm,complete,N/A,GD Chaves,Vitória Guimarães,Manuel Antonio Rodrigues Oliveira,1,0.00,0.00,0.75,1.40,0,1,1,1,0,1,"","45'3",2,5,2,0,8,2,1,1,3,7,15,15,4,7,11,8,11,20,50,50,1.63,1.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.25,2.75,1.37,2.15,3.75,7.50,1.91,1.91,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves)
1659986100,Aug 08 2022 - 7:15pm,complete,N/A,Gil Vicente,Paços de Ferreira,André Filipe Domingues Narciso,1,0.00,0.00,1.00,0.25,1,0,1,0,0,0,"85","",8,6,1,0,6,0,0,1,2,4,18,14,6,6,12,8,17,19,48,52,1.83,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.73,4.60,1.39,2.23,3.80,7.75,1.95,1.80,Estádio Cidade de Barcelos (Barcelos)
1660331700,Aug 12 2022 - 7:15pm,complete,N/A,Famalicão,Sporting Braga,Luis Miguel Branco Godinho,2,0.00,0.00,1.50,2.25,0,3,3,2,0,2,"","13,18,79",7,7,3,0,1,0,1,2,1,0,12,25,6,11,6,14,11,14,50,50,1.62,2.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.02,3.49,2.32,1.25,1.85,3.00,5.00,1.67,2.10,Estádio Municipal 22 de Junho (Vila Nova de Famalicão)
