timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1660933800,Aug 19 2022 - 6:30pm,complete,N/A,Volos NFC,Asteras Tripolis,Konstantinos Perrakis,1,0.00,0.00,1.33,1.00,3,3,6,2,1,1,"33,56,65","27,68,90'9",3,3,4,0,3,0,2,2,3,0,12,13,8,5,4,8,12,18,52,48,1.54,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.44,3.10,2.74,1.39,2.25,3.90,7.75,1.90,1.80,Panthessaliko Stadio (Volos)
1661014800,Aug 20 2022 - 5:00pm,complete,N/A,Atromitos,OFI,Aristotelis Diamantopoulos,1,0.00,0.00,1.67,1.50,3,1,4,3,2,1,"39,45'3,73","34",2,5,2,0,4,0,1,1,2,2,11,10,6,3,5,7,9,20,43,57,1.30,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,2.95,3.55,1.35,2.00,3.72,7.00,1.91,1.91,Stadio Peristeriou (Athína (Athens))
1661020200,Aug 20 2022 - 6:30pm,complete,N/A,Lamia,AEK Athens,Aristomenis Koutsiaftis,1,0.00,0.00,0.50,2.00,0,3,3,1,0,1,"","35,65,73",0,1,1,0,1,0,0,1,0,1,7,9,0,4,7,5,16,18,36,64,0.61,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.10,3.65,1.52,1.38,2.17,4.04,7.60,2.25,1.57,Dimotiko Athlitiko Kentro Lamias (Lamia)
1661021100,Aug 20 2022 - 6:45pm,complete,N/A,PAOK,Panaitolikos,Angelos Evangelou,1,0.00,0.00,3.00,1.33,1,0,1,1,1,0,"7","",7,4,0,0,2,0,0,0,0,2,18,5,10,0,8,5,12,9,78,22,2.32,0.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.28,4.60,10.50,1.26,1.80,3.04,5.55,2.25,1.57,Stadio Toumbas (Thessaloníki)
1661101200,Aug 21 2022 - 5:00pm,complete,N/A,Panathinaikos,Ionikos,Anastasios Sidiropoulos,1,0.00,0.00,3.00,0.00,1,0,1,1,1,0,"45'3","",6,1,1,0,5,0,1,0,3,2,12,4,3,0,9,4,11,18,70,30,1.27,0.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,4.60,9.50,1.30,1.95,3.40,6.50,2.20,1.62,Stadio Apóstolos Nikolaidis (Athína (Athens))
1661103000,Aug 21 2022 - 5:30pm,complete,N/A,Aris,Levadiakos,Georgios Tzovaras,1,0.00,0.00,2.33,0.25,3,0,3,2,2,0,"12,45'1,68","",6,3,1,0,3,0,0,1,1,2,13,14,6,0,7,14,14,13,57,43,1.55,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.33,7.50,1.29,2.03,3.20,6.00,2.10,1.67,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1661108400,Aug 21 2022 - 7:00pm,complete,N/A,Olympiakos Piraeus,PAS Giannina,Evangelos Manouhos,1,0.00,0.00,2.33,0.00,2,0,2,0,0,0,"57,74","",6,2,0,0,0,0,0,0,0,0,16,13,4,2,12,11,4,4,61,39,1.85,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,5.00,11.00,1.22,1.74,3.10,5.50,2.63,1.44,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1661538600,Aug 26 2022 - 6:30pm,complete,N/A,Ionikos,Levadiakos,Spiros Zabalas,2,0.00,0.00,0.50,0.25,0,0,0,0,0,0,"","",6,2,3,0,2,0,0,3,2,0,13,11,7,4,6,7,20,18,53,47,1.79,1.38,1.50,0,50,50,0,0,50,50,0,50,3.00,3.00,2.14,3.10,3.35,1.45,2.30,4.10,8.00,1.98,1.79,Dimotiko Gipedo Neapolis Nikaias (Athína (Athens))
1661619600,Aug 27 2022 - 5:00pm,complete,N/A,PAS Giannina,Lamia,Alexandros Tsakalidis,2,0.00,0.00,2.00,0.67,1,1,2,1,1,0,"13","59",6,8,2,0,3,0,0,2,1,2,14,12,4,5,10,7,14,27,55,45,1.46,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,3.05,3.25,1.46,2.47,5.00,10.00,2.20,1.61,Stadio Zosimades (Ioannina)
1661625000,Aug 27 2022 - 6:30pm,complete,N/A,AEK Athens,Volos NFC,Ioannis Papadopoulos,2,0.00,0.00,1.50,2.00,0,1,1,1,0,1,"","19",8,1,3,0,5,0,0,3,2,3,17,7,4,5,13,2,12,17,71,29,2.00,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.27,4.93,8.30,1.18,1.58,2.55,4.33,2.10,1.66,Stadio Georgios Kamaras (Athína (Athens))
1661702400,Aug 28 2022 - 4:00pm,complete,N/A,Panaitolikos,Aris,Anastasios Papapetrou,2,0.00,0.00,1.50,1.50,3,1,4,2,1,1,"15,63,76","20",1,4,1,1,1,0,1,1,1,0,9,15,4,5,5,10,13,13,34,66,1.01,1.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.10,1.90,1.42,2.25,4.33,8.30,2.05,1.74,Stadio Panetolikou (Agrinio)
1661709600,Aug 28 2022 - 6:00pm,complete,N/A,OFI,Panathinaikos,Vasilis Fotias,2,0.00,0.00,0.33,3.00,0,2,2,2,0,2,"","16,33",1,3,2,0,1,0,0,2,0,1,6,9,2,4,4,5,14,14,46,54,0.80,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.25,1.91,1.38,2.15,3.90,7.50,1.97,1.80,Stadio Thódoros Vardinoyánnis (Iraklio (Heraklion))
1661712300,Aug 28 2022 - 6:45pm,complete,N/A,PAOK,Atromitos,Thanasis Tzilos,2,3.00,0.00,3.00,1.50,2,1,3,1,1,0,"12,90'6","90'2",8,3,1,0,3,1,0,1,2,2,18,7,8,4,10,3,12,15,57,43,1.99,0.87,0.50,0,0,0,0,0,0,50,0,0,7.00,0.00,1.40,4.33,6.75,1.28,1.90,3.20,5.90,2.09,1.71,Stadio Toumbas (Thessaloníki)
1661788800,Aug 29 2022 - 4:00pm,complete,N/A,Asteras Tripolis,Olympiakos Piraeus,Dimitrios Karantonis,2,0.00,0.00,0.50,0.50,0,0,0,0,0,0,"","",0,10,4,0,1,0,1,3,0,1,5,17,3,2,2,15,19,12,26,74,0.66,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.75,3.50,1.67,1.36,2.10,3.75,7.50,1.95,1.82,Stadio Theodoros Kolokotronis (Tripoli)
1662216300,Sep 03 2022 - 2:45pm,complete,N/A,Lamia,Asteras Tripolis,N/A,3,0.00,1.00,0.50,1.00,0,0,0,0,0,0,"","",5,3,0,0,1,0,0,0,0,1,14,9,3,3,11,6,10,12,48,52,0.00,0.00,4.50,50,100,100,50,50,50,100,100,100,3.00,4.00,2.94,3.15,2.38,1.44,2.40,4.33,9.00,2.00,1.71,Dimotiko Athlitiko Kentro Lamias (Lamia)
1662220800,Sep 03 2022 - 4:00pm,complete,N/A,Olympiakos Piraeus,Ionikos,Aristotelis Diamantopoulos,3,3.00,0.00,2.33,0.00,3,1,4,2,2,0,"17,45,90'5","49",4,4,0,0,1,0,0,0,0,1,13,9,4,3,9,6,12,16,48,52,1.46,0.92,1.50,0,50,0,0,0,0,50,50,50,7.00,5.00,1.22,5.10,10.75,1.20,1.63,2.50,4.33,2.38,1.53,Stadio Georgios Karaiskáki (Pireás (Piraeus))
