timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659724200,Aug 05 2022 - 6:30pm,complete,N/A,Eintracht Frankfurt,Bayern München,Deniz Aytekin,1,0.00,0.00,0.50,3.00,1,6,7,5,0,5,"64","5,10,29,35,43,83",5,6,2,0,0,0,0,2,0,0,10,24,4,11,6,13,10,11,37,63,1.21,2.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.48,5.13,1.39,1.11,1.34,1.95,3.14,1.53,2.38,Deutsche Bank Park (Frankfurt am Main)
1659792600,Aug 06 2022 - 1:30pm,complete,22012,Union Berlin,Hertha BSC,Marco Fritz,1,0.00,0.00,3.00,0.00,3,1,4,1,1,0,"31,50,54","85",5,4,2,0,3,0,1,1,0,3,6,2,4,2,2,0,23,17,48,52,0.86,0.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.88,4.00,1.32,1.67,3.50,6.50,1.91,1.91,Stadion An der Alten Försterei (Berlin)
1659792600,Aug 06 2022 - 1:30pm,complete,N/A,Borussia M'gladbach,Hoffenheim,Daniel Siebert,1,0.00,0.00,3.00,1.50,3,1,4,2,1,1,"42,71,78","25",5,1,1,0,3,1,1,0,3,1,8,3,5,2,3,1,18,12,62,38,1.02,0.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.98,2.95,1.12,1.36,1.93,3.37,1.36,3.00,Stadion im BORUSSIA-PARK (Mönchengladbach)
1659792600,Aug 06 2022 - 1:30pm,complete,28000,Wolfsburg,Werder Bremen,Sascha Stegemann,1,0.00,0.00,1.00,2.00,2,2,4,3,1,2,"11,84","21,23",2,5,2,0,2,0,0,2,0,2,12,12,4,6,8,6,11,14,61,39,1.34,1.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.63,3.93,1.23,1.84,2.90,5.00,1.67,2.10,VOLKSWAGEN ARENA (Wolfsburg)
1659792600,Aug 06 2022 - 1:30pm,complete,N/A,Bochum,Mainz 05,Felix Zwayer,1,0.00,0.00,0.00,3.00,1,2,3,2,1,1,"39","26,77",3,5,2,0,3,0,1,1,1,2,15,13,3,7,12,6,1,1,60,40,1.45,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.94,3.33,2.44,1.32,2.05,3.49,6.50,1.75,2.00,Vonovia Ruhrstadion (Bochum)
1659792600,Aug 06 2022 - 1:30pm,complete,N/A,Augsburg,Freiburg,Bastian Dankert,1,0.00,0.00,0.00,3.00,0,4,4,0,0,0,"","46,48,61,78",5,8,0,0,0,0,0,0,0,0,12,24,3,10,9,14,13,13,53,47,1.15,2.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.86,3.45,2.43,1.30,1.84,3.28,5.75,1.75,2.00,WWK Arena (Augsburg)
1659803400,Aug 06 2022 - 4:30pm,complete,N/A,Borussia Dortmund,Bayer Leverkusen,Felix Brych,1,0.00,0.00,1.50,1.50,1,0,1,1,1,0,"10","",3,3,2,0,4,1,1,1,2,3,16,11,5,6,11,5,11,13,45,55,1.75,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.07,4.10,3.19,1.12,1.37,2.05,3.31,1.36,3.00,Signal-Iduna-Park (Dortmund)
1659879000,Aug 07 2022 - 1:30pm,complete,N/A,Stuttgart,RB Leipzig,Tobias Stieler,1,0.00,0.00,0.50,0.50,1,1,2,2,1,1,"31","8",1,9,2,0,1,0,0,2,0,1,7,21,2,9,5,12,14,9,32,68,0.71,2.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.33,3.70,1.75,1.25,1.74,1.94,5.50,1.70,2.05,Mercedes-Benz-Arena (Stuttgart)
1659886200,Aug 07 2022 - 3:30pm,complete,50000,Köln,Schalke 04,Robert Schröder,1,0.00,0.00,2.00,0.50,3,1,4,0,0,0,"49,62,80","76",9,1,0,0,1,1,0,0,1,1,27,7,8,3,19,4,8,10,75,25,2.88,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,4.20,4.33,1.18,1.55,2.45,4.20,1.53,2.38,RheinEnergieStadion (Köln)
1660329000,Aug 12 2022 - 6:30pm,complete,N/A,Freiburg,Borussia Dortmund,Tobias Welz,2,0.00,0.00,1.50,3.00,1,3,4,1,1,0,"35","77,84,88",9,2,1,0,3,0,0,1,1,2,20,14,8,6,12,8,16,10,39,61,2.15,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.57,3.58,1.66,1.18,1.45,2.20,4.20,1.50,2.50,Europa-Park Stadion (Freiburg im Breisgau)
