timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657904400,Jul 15 2022 - 5:00pm,complete,N/A,Midtjylland,Randers,Jonas Hansen,1,0.00,0.00,0.80,1.80,1,1,2,0,0,0,"54","60",8,2,4,0,2,0,0,4,0,2,21,11,10,3,11,8,7,12,58,42,2.54,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,3.70,4.80,1.23,1.70,2.85,5.45,1.80,1.95,MCH Arena (Herning)
1658059200,Jul 17 2022 - 12:00pm,complete,N/A,Viborg,AaB,Mads-Kristoffer Kristoffersen,1,0.00,0.00,2.67,0.60,2,1,3,1,1,0,"43,85","77",8,3,4,1,2,0,1,4,1,1,19,14,8,8,11,6,11,7,55,45,2.27,1.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.40,2.95,1.23,1.77,3.00,5.80,1.62,2.20,Energi Viborg Arena (Viborg)
1658059200,Jul 17 2022 - 12:00pm,complete,N/A,Lyngby,Silkeborg,Mikkel Redder,1,0.00,0.00,0.40,1.17,2,2,4,1,1,0,"43,51","55,78",7,4,1,0,2,0,1,0,0,2,12,11,4,3,8,8,11,9,38,62,1.24,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.55,1.95,1.23,1.75,2.95,5.75,1.67,2.10,Lyngby Stadion (Lyngby)
1658066400,Jul 17 2022 - 2:00pm,complete,N/A,København,Horsens,Jakob Kehlet,1,0.00,0.00,1.50,0.80,0,1,1,0,0,0,"","61",11,1,1,0,3,0,0,1,2,1,23,9,8,4,15,5,4,15,76,24,2.60,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.28,4.80,11.00,1.21,1.70,2.80,5.25,2.20,1.62,Parken (København)
1658073600,Jul 17 2022 - 4:00pm,complete,N/A,Brøndby,AGF,Sandi Putros,1,0.00,0.00,1.40,1.20,1,0,1,0,0,0,"79","",15,5,0,0,2,0,0,0,2,0,18,13,8,6,10,7,7,10,54,46,2.05,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.50,3.80,1.29,1.95,3.35,6.45,1.75,2.00,Brøndby Stadion (Brøndby)
1658163600,Jul 18 2022 - 5:00pm,complete,N/A,OB,Nordsjælland,Jens Maae,1,0.00,0.00,1.00,2.00,0,2,2,1,0,1,"","3,86",2,5,2,0,3,0,0,2,3,0,12,22,5,7,7,15,14,10,55,45,1.59,2.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.20,3.15,1.27,1.78,3.05,5.95,1.67,2.10,Nature Energy Park (Odense)
1658509200,Jul 22 2022 - 5:00pm,complete,N/A,Midtjylland,Silkeborg,Jakob A. Sundberg,2,1.00,1.00,0.80,1.17,1,3,4,1,0,1,"51","31,57,61",12,2,1,0,2,0,1,0,1,1,11,5,7,5,4,0,8,5,46,54,1.73,0.93,3.00,100,100,50,50,0,0,50,100,100,12.00,6.00,1.82,3.60,3.95,1.19,1.68,2.50,4.50,1.57,2.34,MCH Arena (Herning)
1658664000,Jul 24 2022 - 12:00pm,complete,N/A,AGF,Viborg,Aydin Uslu,2,0.00,0.00,2.00,0.75,3,1,4,1,1,0,"9,60,76","74",6,1,1,0,0,0,0,1,0,0,11,8,5,3,6,5,17,8,50,50,1.41,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.40,2.70,1.32,1.91,3.35,6.45,1.75,2.00,Ceres Park & Arena (Århus)
1658664000,Jul 24 2022 - 12:00pm,complete,N/A,Randers,OB,Peter Kjærsgaard-Andersen,2,0.00,0.00,2.60,1.75,2,2,4,2,0,2,"75,77","29,45",11,2,1,0,0,0,0,1,0,0,25,10,12,5,13,5,10,7,57,43,2.93,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,3.70,3.20,1.25,1.87,2.95,5.45,1.67,2.10,Cepheus Park Randers (Randers)
1658671200,Jul 24 2022 - 2:00pm,complete,N/A,Brøndby,Nordsjælland,Jørgen Daugbjerg Burchardt,2,3.00,3.00,1.40,2.00,1,3,4,1,0,1,"56","3,71,74",6,6,3,0,2,0,1,2,1,1,12,12,6,9,6,3,17,14,52,48,1.76,1.64,1.50,0,50,0,0,0,0,50,0,100,20.00,3.00,2.20,3.55,3.15,1.25,1.75,2.95,5.45,1.67,2.10,Brøndby Stadion (Brøndby)
