timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1660330800,Aug 12 2022 - 7:00pm,complete,N/A,CA Osasuna,Sevilla FC,Carlos Del Cerro Grande,1,0.00,0.00,1.80,1.40,2,1,3,2,1,1,"9,74","11",5,2,5,0,3,0,1,4,0,3,13,10,6,5,7,5,16,9,34,66,1.45,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.27,3.08,2.13,1.47,2.30,4.75,10.00,2.00,1.75,Estadio El Sadar (Pamplona (Iruñea))
1660402800,Aug 13 2022 - 3:00pm,complete,18859,Celta de Vigo,RCD Espanyol,Miguel Ángel Ortiz Arias,1,0.00,0.00,1.40,1.25,2,2,4,1,1,0,"45'2,63","72,90'8",3,3,5,0,2,0,2,3,0,2,9,15,4,3,5,12,17,15,60,40,1.09,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.70,4.04,1.33,1.98,3.60,7.00,1.80,1.95,Abanca-Balaídos (Vigo)
1660410000,Aug 13 2022 - 5:00pm,complete,N/A,Real Valladolid,Villarreal,Mario Melero López,1,0.00,0.00,1.00,1.33,0,3,3,0,0,0,"","49,81,90",4,5,1,0,0,0,0,1,0,0,13,12,7,5,6,7,6,10,52,48,1.67,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.65,1.95,1.32,1.91,3.50,6.50,1.75,2.00,Estadio Municipal José Zorrilla (Valladolid)
1660417200,Aug 13 2022 - 7:00pm,complete,N/A,FC Barcelona,Rayo Vallecano,Alejandro José Hernández Hernández,1,0.00,0.00,2.50,0.80,0,0,0,0,0,0,"","",8,0,2,1,6,0,1,2,2,4,24,6,7,3,17,3,16,14,68,32,2.46,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,7.00,13.55,1.15,1.46,2.28,3.75,2.10,1.67,Spotify Camp Nou (Barcelona)
1660491000,Aug 14 2022 - 3:30pm,complete,16570,Cádiz,Real Sociedad,Isidro Díaz de Mera Escuderos,1,0.00,0.00,0.40,2.40,0,1,1,1,0,1,"","24",3,6,4,0,2,0,2,2,0,2,9,16,3,8,6,8,9,20,40,60,1.10,1.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.15,3.28,2.54,1.45,2.30,4.50,9.50,2.00,1.75,Estadio Nuevo Mirandilla (Cádiz)
1660498200,Aug 14 2022 - 5:30pm,complete,39359,Valencia CF,Girona FC,Jorge Figueroa Vázquez,1,0.00,0.00,2.00,0.25,1,0,1,1,1,0,"45'1","",4,4,2,1,3,0,0,3,3,0,17,6,4,2,13,4,18,14,46,54,1.68,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.86,3.82,4.60,1.35,1.95,3.75,7.50,1.95,1.80,Estadio de Mestalla (Valencia)
1660507200,Aug 14 2022 - 8:00pm,complete,N/A,Almería,Real Madrid,Juan Martínez Munuera,1,0.00,0.00,1.50,3.00,1,2,3,1,1,0,"6","61,75",2,15,3,0,1,0,1,2,1,0,11,30,7,16,4,14,11,4,33,67,1.31,3.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.20,4.60,1.35,1.18,1.48,2.15,4.33,1.75,2.00,Power Horse Stadium – Estadio de los Juegos Mediterráneos (Almería)
1660577400,Aug 15 2022 - 3:30pm,complete,N/A,Athletic Club Bilbao,RCD Mallorca,Javier Iglesias Villanueva,1,0.00,0.00,1.67,1.25,0,0,0,0,0,0,"","",7,2,0,0,6,0,0,0,3,3,24,7,7,3,17,4,1,0,64,36,2.62,0.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,3.60,5.80,1.40,2.15,4.00,8.50,2.10,1.67,San Mamés Barria (Bilbao)
1660584600,Aug 15 2022 - 5:30pm,complete,12235,Getafe CF,Atlético Madrid,José María Sánchez Martínez,1,0.00,0.00,0.80,2.60,0,3,3,1,0,1,"","15,59,75",3,6,2,0,1,0,1,1,0,1,11,14,2,7,9,7,14,19,42,58,1.13,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.50,3.20,1.91,1.62,2.45,5.50,11.00,2.25,1.57,Coliseum Alfonso Pérez (Getafe)
1660591800,Aug 15 2022 - 7:30pm,complete,50622,Real Betis,Elche CF,Guillermo Cuadra Fernández,1,0.00,0.00,3.00,0.20,3,0,3,2,2,0,"28,39,60","",8,4,3,0,6,1,2,1,4,3,19,5,10,2,9,3,10,18,72,28,2.21,0.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.25,7.00,1.26,1.73,3.10,6.00,1.95,1.80,Estadio Benito Villamarín (Sevilla)
1660932000,Aug 19 2022 - 6:00pm,complete,16031,RCD Espanyol,Rayo Vallecano,Jorge Figueroa Vázquez,2,0.00,1.00,0.80,0.80,0,2,2,1,0,1,"","40,59",9,2,2,1,4,1,3,0,4,1,14,9,2,4,12,5,12,17,54,46,1.51,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,6.00,2.45,3.05,2.74,1.40,2.30,4.20,8.50,1.95,1.77,RCDE Stadium (Cornella de Llobregat)
1660939200,Aug 19 2022 - 8:00pm,complete,33991,Sevilla FC,Real Valladolid,Juan Luis Pulido Santana,2,0.00,0.00,0.50,0.80,1,1,2,0,0,0,"86","80",12,2,3,1,2,1,0,4,0,3,22,7,3,4,19,3,20,10,61,39,2.23,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.56,3.90,5.00,1.30,1.93,3.40,6.50,1.98,1.73,Estadio Ramón Sánchez Pizjuán (Sevilla)
1661009400,Aug 20 2022 - 3:30pm,complete,N/A,CA Osasuna,Cádiz,Antonio Miguel Mateu Lahoz,2,3.00,0.00,1.80,1.00,2,0,2,1,1,0,"37,79","",2,2,2,0,4,1,1,1,1,4,18,11,5,3,13,8,11,13,56,44,1.94,1.09,1.50,50,50,50,0,0,50,50,0,50,5.00,5.00,2.05,3.20,4.00,1.45,2.30,4.75,10.00,2.10,1.65,Estadio El Sadar (Pamplona (Iruñea))
1661016600,Aug 20 2022 - 5:30pm,complete,N/A,RCD Mallorca,Real Betis,Pablo González Fuertes,2,0.00,0.00,0.80,1.00,1,2,3,1,0,1,"56","9,73",5,2,7,0,8,0,1,6,2,6,13,9,5,4,8,5,22,17,47,53,1.45,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.20,2.50,1.40,2.15,4.00,8.00,1.88,1.82,Visit Mallorca Estadi (Palma de Mallorca)
